Part Name,Material Composition,Age (years),Condition,Location,Manufacturer,Aircraft Model,Potential Use Cases,New Parts Carbon Footprint (kg CO2e),Recycled Parts Carbon Footprint (kg CO2e),Water Usage - New Parts (liters),Water Usage - Recycled Parts (liters),Landfill Waste - New Parts (kg),Landfill Waste - Recycled Parts (kg),Energy Consumption - New Parts (kWh),Energy Consumption - Recycled Parts (kWh),Recycling Rate (%),Toxicity Score - New Parts,Toxicity Score - Recycled Parts,Remanufacturing Potential,Life Cycle Assessment,Renewable Material Content (%),Carbon Footprint Saved (kg CO2e),Water Usage Saved (liters),Landfill Waste Saved (kg),Energy Consumption Saved (kWh),Toxicity Score Difference,Remanufacturing Potential (%),Life Cycle Assessment Score
Fuselage,Steel,22,New,Australia,Airbus,G650,Furniture,759,142,4110,387,355,130,789,257,67.57634738,7.130729631,3.219583766,0.2210131047,51.18712157,8.782923457,617,3723,225,532,3.911145865,22.10131047,51.18712157
Fuselage,Steel,48,Used,South America,Boeing,737,Furniture,584,64,8520,941,449,79,1914,127,82.89214275,3.620092378,4.815621785,0.3546410645,25.76054197,94.97301131,520,7579,370,1787,-1.195529407,35.46410645,25.76054197
Avionics,Aluminum,24,New,Australia,Embraer,737,Art Installations,713,189,1853,979,727,195,683,328,65.80965803,1.630070211,2.978682328,0.1434302751,98.6454709,11.82419974,524,874,532,355,-1.348612117,14.34302751,98.6454709
Wing,Composite,22,Used,South America,Boeing,Citation X,Building Materials,636,50,1576,478,705,113,2551,133,79.52393742,4.962811606,1.106220807,0.7623540609,26.66578218,69.50982887,586,1098,592,2418,3.856590799,76.23540609,26.66578218
Wing,Steel,38,New,Europe,Boeing,737,Furniture,265,88,7143,969,201,88,2591,439,64.19492892,2.92137248,4.155654323,0.1446420048,26.08354651,39.37072073,177,6174,113,2152,-1.234281843,14.46420048,26.08354651
Engine,Steel,9,New,Africa,Embraer,737,Aircraft Maintenance,520,114,6433,729,171,36,1314,348,55.73416606,1.585697287,1.978400266,0.966957631,21.70907432,24.16202962,406,5704,135,966,-0.3927029792,96.6957631,21.70907432
Fuselage,Aluminum,7,Used,Africa,Gulfstream,737,Furniture,879,185,8401,479,669,151,846,479,50.05477062,2.960823365,1.106150552,0.8464442385,27.78751648,93.00093419,694,7922,518,367,1.854672813,84.64442385,27.78751648
Fuselage,Composite,13,Used,North America,Gulfstream,Citation X,Furniture,651,124,2740,290,299,54,1176,434,57.40995066,9.147842876,4.596859659,0.1409774631,88.78531257,43.37433525,527,2450,245,742,4.550983216,14.09774631,88.78531257
Landing Gear,Titanium,13,New,Europe,Cessna,Citation X,Art Installations,921,171,3979,822,974,22,2431,384,53.03413331,3.635604278,1.249241837,0.6358281009,51.54979212,9.646683737,750,3157,952,2047,2.386362441,63.58281009,51.54979212
Avionics,Steel,11,Used,North America,Bombardier,CRJ900,Automotive Components,856,91,1725,873,289,36,4314,159,71.73008756,8.111738331,3.272173932,0.3962374386,78.19514662,96.89225753,765,852,253,4155,4.839564399,39.62374386,78.19514662
Wing,Composite,28,New,Asia,Bombardier,737,Building Materials,149,186,5898,999,321,180,4191,210,92.96357161,2.100896463,2.965148238,0.3923809003,35.22544502,77.72545336,-37,4899,141,3981,-0.8642517755,39.23809003,35.22544502
Fuselage,Composite,46,New,Africa,Embraer,CRJ900,Art Installations,415,88,5481,421,728,22,623,346,55.15035158,6.335616784,3.9158032,0.3476861904,84.494613,23.96282588,327,5060,706,277,2.419813585,34.76861904,84.494613
Wing,Titanium,5,New,Europe,Boeing,G650,Automotive Components,598,44,1085,212,936,84,3127,316,87.3970122,2.549546131,1.318734682,0.137775173,17.88561628,23.25373387,554,873,852,2811,1.23081145,13.7775173,17.88561628
Fuselage,Titanium,6,Used,Asia,Airbus,A320,Building Materials,915,185,8406,959,166,76,3459,224,63.65376165,3.305077155,2.916450384,0.1522833431,83.78173466,71.87604521,730,7447,90,3235,0.3886267705,15.22833431,83.78173466
Fuselage,Aluminum,7,Used,Australia,Embraer,737,Automotive Components,126,95,2836,281,820,53,902,354,76.14440083,4.458901255,2.502156181,0.7853451108,27.02560511,33.10218674,31,2555,767,548,1.956745074,78.53451108,27.02560511
Avionics,Steel,18,Used,Australia,Embraer,E175,Building Materials,651,66,1152,997,986,150,1239,440,89.2940798,5.475052527,1.830353484,0.008860099669,8.373082595,54.8486418,585,155,836,799,3.644699043,0.8860099669,8.373082595
Landing Gear,Composite,38,New,Africa,Embraer,CRJ900,Automotive Components,136,167,8128,488,466,183,1512,154,90.23074872,6.343595614,3.686777505,0.4483931791,87.62104527,54.37116115,-31,7640,283,1358,2.656818108,44.83931791,87.62104527
Wing,Composite,20,Used,Africa,Cessna,G650,Automotive Components,205,197,6727,369,540,121,1724,323,70.99161891,7.451080187,2.399921244,0.4402796675,72.94953654,48.56111157,8,6358,419,1401,5.051158943,44.02796675,72.94953654
Fuselage,Composite,23,Used,South America,Airbus,737,Furniture,469,194,5886,911,177,158,4518,163,50.63745354,3.457976868,2.483149375,0.509060275,95.03529123,39.4311199,275,4975,19,4355,0.9748274933,50.9060275,95.03529123
Wing,Steel,45,New,Africa,Cessna,A320,Furniture,555,39,8942,973,479,82,2833,290,77.53608211,7.079834457,2.86281485,0.8612979376,24.18768339,21.84712819,516,7969,397,2543,4.217019607,86.12979376,24.18768339
Wing,Composite,17,Used,Australia,Boeing,E175,Furniture,990,103,4865,385,608,141,2102,425,90.77496062,5.128795899,3.932902163,0.2354017754,19.66708345,67.63509989,887,4480,467,1677,1.195893736,23.54017754,19.66708345
Landing Gear,Titanium,15,Used,Europe,Embraer,CRJ900,Art Installations,831,128,1911,327,653,57,1242,484,62.31356644,3.43525994,1.277250792,0.8161277835,47.05240163,39.82451513,703,1584,596,758,2.158009148,81.61277835,47.05240163
Avionics,Aluminum,45,New,Asia,Gulfstream,G650,Automotive Components,362,80,8193,775,930,148,3364,153,70.39376014,9.1844034,1.76721687,0.1125782877,41.80202728,45.24925531,282,7418,782,3211,7.417186529,11.25782877,41.80202728
Wing,Steel,8,Used,South America,Bombardier,CRJ900,Aircraft Maintenance,933,148,2950,325,748,107,2196,361,83.18973863,4.739002734,4.730628151,0.4414353678,62.80658317,62.17829462,785,2625,641,1835,0.008374583439,44.14353678,62.80658317
Landing Gear,Titanium,48,Used,South America,Boeing,G650,Aircraft Maintenance,322,131,2643,667,312,159,1534,291,59.81524413,1.994346558,2.485911413,0.360220202,25.7196839,77.93536656,191,1976,153,1243,-0.4915648542,36.0220202,25.7196839
Avionics,Steel,10,New,South America,Embraer,CRJ900,Furniture,831,26,8531,571,914,81,1671,231,75.09050248,3.323019032,1.746761767,0.6714465187,9.391332486,79.284534,805,7960,833,1440,1.576257265,67.14465187,9.391332486
Avionics,Aluminum,10,New,North America,Cessna,CRJ900,Aircraft Maintenance,502,154,6764,304,466,151,1889,409,57.50171202,9.230675609,2.846091138,0.8143482268,65.96471184,96.60293396,348,6460,315,1480,6.384584471,81.43482268,65.96471184
Landing Gear,Aluminum,21,New,North America,Boeing,E175,Furniture,564,69,9257,451,618,143,3917,458,69.14038753,3.17966759,4.794430183,0.7805979089,18.95049898,75.22509972,495,8806,475,3459,-1.614762593,78.05979089,18.95049898
Landing Gear,Titanium,41,New,Europe,Airbus,CRJ900,Furniture,731,178,4538,822,933,193,1493,478,71.2743866,9.748203703,1.636722279,0.1014325974,90.18759021,23.75385219,553,3716,740,1015,8.111481424,10.14325974,90.18759021
Wing,Titanium,22,New,Asia,Airbus,G650,Furniture,774,86,7916,655,364,185,1017,103,84.31423311,2.429341692,3.482181718,0.7187586389,75.3451913,30.77086361,688,7261,179,914,-1.052840027,71.87586389,75.3451913
Fuselage,Aluminum,24,Used,Africa,Boeing,G650,Art Installations,419,124,2930,801,584,37,3124,449,76.49133042,2.240713527,3.235084782,0.6445307878,21.37132371,23.6924635,295,2129,547,2675,-0.9943712546,64.45307878,21.37132371
Avionics,Aluminum,21,New,Europe,Embraer,CRJ900,Aircraft Maintenance,225,157,1703,542,645,131,3783,291,56.57416695,5.271593584,4.026126498,0.1301819909,33.69676413,64.15442018,68,1161,514,3492,1.245467086,13.01819909,33.69676413
Landing Gear,Aluminum,38,New,Asia,Bombardier,E175,Furniture,128,162,3938,989,121,46,2145,102,88.87733599,2.333898942,3.223488825,0.717274467,53.62490584,49.09065849,-34,2949,75,2043,-0.889589883,71.7274467,53.62490584
Engine,Aluminum,38,New,South America,Boeing,Citation X,Automotive Components,472,47,2222,787,183,166,1554,163,88.49966109,8.17906106,2.370523695,0.5619968573,19.99307243,70.05048898,425,1435,17,1391,5.808537366,56.19968573,19.99307243
Avionics,Titanium,27,New,Europe,Boeing,737,Aircraft Maintenance,278,33,1639,719,856,167,4638,493,75.97823472,3.308804537,4.985790409,0.2782613487,17.75941976,33.12433562,245,920,689,4145,-1.676985872,27.82613487,17.75941976
Fuselage,Composite,27,New,Africa,Airbus,G650,Art Installations,660,37,5418,330,735,155,1494,292,92.16227029,1.239453462,3.09401302,0.1156791881,47.25136722,2.022092394,623,5088,580,1202,-1.854559558,11.56791881,47.25136722
Avionics,Steel,10,New,Australia,Boeing,737,Aircraft Maintenance,502,102,2829,693,779,30,574,285,67.91632738,6.494651195,1.632056216,0.8338952275,2.648537395,20.82654793,400,2136,749,289,4.862594979,83.38952275,2.648537395
Landing Gear,Aluminum,4,Used,Asia,Bombardier,Citation X,Art Installations,962,93,3632,490,355,156,4034,443,50.10654379,6.882577735,3.660485462,0.6856327857,1.341282197,3.545957694,869,3142,199,3591,3.222092273,68.56327857,1.341282197
Landing Gear,Aluminum,14,Used,South America,Boeing,Citation X,Furniture,519,69,3430,834,670,188,1248,414,73.7494636,9.500175042,3.754068028,0.8221571282,66.71497958,22.79527519,450,2596,482,834,5.746107014,82.21571282,66.71497958
Avionics,Steel,24,Used,Europe,Airbus,E175,Art Installations,914,26,1183,608,637,79,3061,157,94.52467241,6.602560942,4.472112866,0.1358412316,4.750407724,33.73227725,888,575,558,2904,2.130448077,13.58412316,4.750407724
Landing Gear,Titanium,19,Used,Africa,Cessna,Citation X,Building Materials,853,183,4526,262,398,79,4431,268,92.90407847,7.447550857,4.525275676,0.6838440737,8.911209925,45.19730637,670,4264,319,4163,2.922275181,68.38440737,8.911209925
Wing,Aluminum,23,New,Asia,Boeing,G650,Building Materials,358,97,1889,425,539,83,4435,458,67.20760155,4.951135237,4.879854945,0.4982957236,66.06477449,36.79557306,261,1464,456,3977,0.07128029145,49.82957236,66.06477449
Wing,Steel,35,New,Asia,Boeing,CRJ900,Aircraft Maintenance,438,94,3879,496,336,20,1927,182,86.98867554,7.67618034,3.024160128,0.2532560675,52.46985427,11.90579974,344,3383,316,1745,4.652020212,25.32560675,52.46985427
Avionics,Composite,15,New,Africa,Cessna,Citation X,Building Materials,309,32,8052,721,251,189,2033,242,67.28129793,9.617660898,3.441138636,0.144520371,2.555682922,28.84867589,277,7331,62,1791,6.176522263,14.4520371,2.555682922
Landing Gear,Aluminum,0,Used,South America,Boeing,E175,Automotive Components,193,109,5102,329,649,44,701,201,60.94249563,8.215813383,3.050360789,0.5151776708,83.26641439,37.38041652,84,4773,605,500,5.165452595,51.51776708,83.26641439
Engine,Aluminum,18,Used,Australia,Boeing,737,Aircraft Maintenance,960,77,8106,859,979,150,3423,230,61.49834001,5.642929769,3.105999879,0.7448555985,5.058929084,63.75992558,883,7247,829,3193,2.53692989,74.48555985,5.058929084
Engine,Steel,10,Used,South America,Airbus,737,Building Materials,121,122,5719,935,586,158,4073,173,71.62378829,7.324611319,1.85659262,0.8248263464,15.64467967,19.70984577,-1,4784,428,3900,5.468018699,82.48263464,15.64467967
Engine,Titanium,44,New,Europe,Bombardier,Citation X,Aircraft Maintenance,505,107,9730,949,579,118,3550,168,75.96714139,8.944923693,3.005028486,0.1280197559,24.5399527,59.96634628,398,8781,461,3382,5.939895207,12.80197559,24.5399527
Avionics,Composite,39,New,South America,Embraer,G650,Aircraft Maintenance,241,175,5170,950,750,33,3598,412,85.55434335,5.682049816,3.286180993,0.7688490067,96.27703709,6.767112342,66,4220,717,3186,2.395868824,76.88490067,96.27703709
Avionics,Titanium,25,Used,North America,Embraer,CRJ900,Automotive Components,470,189,7925,403,263,154,767,375,86.31059098,6.662755691,2.203255376,0.04478485792,79.57641668,38.91890325,281,7522,109,392,4.459500315,4.478485792,79.57641668
Avionics,Composite,0,New,South America,Boeing,CRJ900,Furniture,151,22,6448,846,743,33,4810,222,53.77641549,4.588999469,3.966128174,0.4436289612,55.86323003,29.02311734,129,5602,710,4588,0.6228712951,44.36289612,55.86323003
Engine,Steel,33,Used,Europe,Embraer,E175,Furniture,965,140,1116,470,679,186,1711,240,90.61558577,1.385696387,4.754326935,0.02769214789,82.80104546,3.250096397,825,646,493,1471,-3.368630548,2.769214789,82.80104546
Engine,Steel,49,Used,Europe,Boeing,A320,Art Installations,781,155,5177,501,152,197,4611,497,89.48887229,9.362063361,4.423841289,0.6244477402,51.74323242,73.18179757,626,4676,-45,4114,4.938222072,62.44477402,51.74323242
Landing Gear,Composite,45,Used,Europe,Airbus,Citation X,Art Installations,466,68,2139,907,336,163,3971,294,58.14658653,7.313132257,1.582510245,0.4077181209,46.26106791,66.94104949,398,1232,173,3677,5.730622012,40.77181209,46.26106791
Engine,Composite,14,Used,North America,Airbus,737,Furniture,557,112,3145,218,498,88,3239,274,65.99824017,6.200384099,4.290325188,0.6178473003,75.27474275,98.13442019,445,2927,410,2965,1.910058911,61.78473003,75.27474275
Landing Gear,Steel,38,New,Australia,Gulfstream,Citation X,Aircraft Maintenance,253,99,5902,453,925,60,3108,435,77.8576249,6.708442558,3.274404808,0.7703436449,3.490754622,56.51499022,154,5449,865,2673,3.43403775,77.03436449,3.490754622
Wing,Titanium,9,New,Australia,Gulfstream,CRJ900,Furniture,818,57,8081,980,512,52,4925,442,80.63111109,5.934110451,2.493702217,0.6288630346,60.6784413,75.06794241,761,7101,460,4483,3.440408234,62.88630346,60.6784413
Fuselage,Composite,36,Used,North America,Gulfstream,Citation X,Aircraft Maintenance,834,54,5029,708,102,142,1795,328,59.2073284,9.937394521,2.307648652,0.03052823154,85.05198331,19.82611457,780,4321,-40,1467,7.629745869,3.052823154,85.05198331
Engine,Aluminum,2,New,Australia,Airbus,G650,Building Materials,303,70,3792,951,787,88,2269,152,73.96128877,3.811753144,4.488691816,0.9610126314,18.91559411,17.93433336,233,2841,699,2117,-0.6769386721,96.10126314,18.91559411
Fuselage,Composite,18,Used,Europe,Embraer,A320,Aircraft Maintenance,121,107,9548,422,288,151,2112,151,93.05256782,7.286130333,2.997805924,0.8861546342,79.49311983,13.80777765,14,9126,137,1961,4.288324409,88.61546342,79.49311983
Avionics,Composite,2,New,South America,Boeing,A320,Art Installations,516,29,8763,369,647,87,821,197,81.83465797,7.750997697,4.398334088,0.2101786796,34.82703038,99.69177564,487,8394,560,624,3.352663609,21.01786796,34.82703038
Wing,Aluminum,6,New,North America,Airbus,Citation X,Building Materials,610,162,3886,626,858,56,1256,367,90.81823242,3.466993425,3.191320709,0.8978160926,71.26793405,23.6726508,448,3260,802,889,0.2756727167,89.78160926,71.26793405
Landing Gear,Composite,24,New,Europe,Bombardier,737,Art Installations,229,113,3228,836,256,139,4430,336,76.84542712,1.722273177,4.479397276,0.7024181753,22.28741904,89.07882477,116,2392,117,4094,-2.757124099,70.24181753,22.28741904
Engine,Titanium,21,Used,Australia,Cessna,A320,Automotive Components,483,20,5531,248,112,88,1282,250,83.05026645,1.958124947,4.494274598,0.6816763441,25.99093874,95.86000702,463,5283,24,1032,-2.536149651,68.16763441,25.99093874
Fuselage,Steel,42,New,Australia,Cessna,737,Aircraft Maintenance,865,26,4056,220,663,97,3486,100,78.22765098,4.257551683,4.929345103,0.5099838421,45.04493833,51.06561684,839,3836,566,3386,-0.6717934198,50.99838421,45.04493833
Avionics,Composite,20,New,Asia,Embraer,CRJ900,Furniture,520,117,6590,845,725,186,1681,277,70.85029839,7.320525106,2.451127592,0.3377930458,76.92264228,70.64564239,403,5745,539,1404,4.869397514,33.77930458,76.92264228
Fuselage,Aluminum,12,Used,Asia,Gulfstream,737,Aircraft Maintenance,855,105,9570,978,602,182,2617,190,73.12012524,7.791562934,4.51995312,0.08122410408,82.37748319,13.5407731,750,8592,420,2427,3.271609814,8.122410408,82.37748319
Engine,Composite,15,New,South America,Airbus,737,Building Materials,365,30,2046,582,288,188,3197,178,52.35344992,4.636345238,2.851858362,0.6497496659,87.93534616,37.23683167,335,1464,100,3019,1.784486877,64.97496659,87.93534616
Landing Gear,Aluminum,47,Used,Europe,Embraer,A320,Aircraft Maintenance,811,129,5635,365,305,86,1215,446,93.47548731,6.704579664,1.835098134,0.7392714279,38.72163342,83.77764648,682,5270,219,769,4.86948153,73.92714279,38.72163342
Avionics,Steel,49,Used,Australia,Cessna,737,Art Installations,346,67,6143,288,275,164,3925,344,61.2629086,3.288265624,4.476906386,0.5628411059,91.11775994,33.88797201,279,5855,111,3581,-1.188640762,56.28411059,91.11775994
Avionics,Aluminum,4,Used,Australia,Cessna,Citation X,Furniture,310,127,5949,732,651,147,2367,363,63.50760528,9.962538614,4.753673763,0.1924565991,5.933280515,26.47731737,183,5217,504,2004,5.208864851,19.24565991,5.933280515
Wing,Composite,32,New,Europe,Cessna,CRJ900,Automotive Components,791,53,1063,460,913,131,3303,333,89.05231932,5.16208271,3.787027348,0.06610436177,53.31539219,36.07069585,738,603,782,2970,1.375055362,6.610436177,53.31539219
Wing,Steel,0,Used,South America,Gulfstream,G650,Art Installations,885,181,7946,559,528,164,2734,480,56.88849145,9.936186385,1.612896188,0.2045069789,95.59783284,59.08941341,704,7387,364,2254,8.323290197,20.45069789,95.59783284
Engine,Steel,24,New,North America,Airbus,A320,Furniture,914,103,1800,643,947,92,4080,131,71.15761387,3.417874012,3.59108058,0.5470985692,68.98763728,80.7056896,811,1157,855,3949,-0.1732065677,54.70985692,68.98763728
Avionics,Steel,0,New,North America,Airbus,E175,Building Materials,982,56,3159,562,710,66,3307,121,82.35857541,6.286585148,3.122077825,0.2003721292,54.91154649,27.29012824,926,2597,644,3186,3.164507322,20.03721292,54.91154649
Fuselage,Composite,9,New,Australia,Embraer,Citation X,Art Installations,243,82,8420,828,515,131,4929,328,88.61706517,7.323471521,4.645632517,0.5264403222,87.26595807,92.91894717,161,7592,384,4601,2.677839004,52.64403222,87.26595807
Wing,Titanium,32,Used,Australia,Cessna,Citation X,Building Materials,383,119,9043,761,342,77,2808,480,86.41741945,3.686653062,2.183668737,0.8906878819,95.48328705,83.76151419,264,8282,265,2328,1.502984325,89.06878819,95.48328705
Engine,Steel,0,Used,Europe,Airbus,CRJ900,Aircraft Maintenance,943,129,4681,747,202,110,517,389,50.3129574,4.840459408,4.93901593,0.345453738,16.80946607,76.27197482,814,3934,92,128,-0.09855652171,34.5453738,16.80946607
Engine,Aluminum,17,Used,South America,Cessna,E175,Automotive Components,903,62,1659,942,284,125,1275,139,54.70308762,6.119766822,1.097581589,0.6452457741,56.42342974,52.66125105,841,717,159,1136,5.022185234,64.52457741,56.42342974
Fuselage,Aluminum,30,New,Europe,Gulfstream,G650,Aircraft Maintenance,857,44,8864,518,679,51,508,490,77.88258281,9.473306439,2.749826906,0.192207121,87.63099648,92.90020402,813,8346,628,18,6.723479533,19.2207121,87.63099648
Landing Gear,Composite,48,New,Asia,Cessna,E175,Art Installations,748,32,6135,817,614,191,909,468,77.54382605,5.417951047,3.650061506,0.6688049866,38.43656232,68.45225921,716,5318,423,441,1.767889541,66.88049866,38.43656232
Wing,Steel,44,Used,South America,Cessna,E175,Art Installations,220,132,7672,828,239,97,688,238,84.9975352,8.61357075,2.942715119,0.9832291552,82.83033684,15.48852047,88,6844,142,450,5.67085563,98.32291552,82.83033684
Wing,Steel,22,Used,North America,Airbus,A320,Furniture,755,154,2566,216,331,69,3994,387,60.1425589,8.706764573,3.219374642,0.4842450593,23.93631809,6.891860231,601,2350,262,3607,5.487389931,48.42450593,23.93631809
Wing,Steel,34,New,Europe,Boeing,Citation X,Art Installations,746,194,2924,558,648,77,4786,245,51.38939954,3.680787043,1.433923774,0.02070562645,8.33731453,16.65024401,552,2366,571,4541,2.246863269,2.070562645,8.33731453
Landing Gear,Titanium,37,Used,Africa,Bombardier,737,Aircraft Maintenance,250,124,8230,273,594,69,2035,319,68.15040001,2.167911451,3.908997903,0.1233083544,52.24810055,24.53738716,126,7957,525,1716,-1.741086452,12.33083544,52.24810055
Landing Gear,Steel,14,New,Europe,Gulfstream,737,Art Installations,365,138,3204,520,142,177,4491,255,70.86923665,4.83017356,2.539732319,0.2317274437,18.2227636,21.63508692,227,2684,-35,4236,2.29044124,23.17274437,18.2227636
Landing Gear,Aluminum,22,Used,Europe,Airbus,Citation X,Art Installations,486,194,3030,706,883,83,3344,111,92.02639052,2.837973101,2.166725906,0.06735868573,18.68356583,17.37233939,292,2324,800,3233,0.6712471953,6.735868573,18.68356583
Landing Gear,Steel,12,New,Australia,Embraer,A320,Automotive Components,732,154,3411,338,352,144,3447,203,59.29960535,4.322088284,4.24700704,0.5495947416,90.98816902,69.77996156,578,3073,208,3244,0.0750812439,54.95947416,90.98816902
Avionics,Composite,16,New,North America,Boeing,E175,Art Installations,513,176,4655,918,919,180,1026,497,78.89808807,5.327373113,4.414310505,0.754296589,60.27388714,1.440748155,337,3737,739,529,0.9130626078,75.4296589,60.27388714
Fuselage,Titanium,37,New,Asia,Gulfstream,G650,Aircraft Maintenance,869,95,1943,234,828,98,1865,451,94.16514392,9.009081726,4.897103945,0.1260095794,87.17455608,30.9047077,774,1709,730,1414,4.111977781,12.60095794,87.17455608
Fuselage,Aluminum,32,Used,Africa,Boeing,E175,Art Installations,958,198,9032,246,414,48,4708,363,71.52100707,6.98659498,2.883555172,0.1905612976,25.01182101,68.9839089,760,8786,366,4345,4.103039808,19.05612976,25.01182101
Landing Gear,Steel,25,New,Europe,Cessna,Citation X,Building Materials,244,36,4865,736,752,42,2019,152,91.80820317,8.914131925,3.223560545,0.07326323029,14.79209659,49.31270849,208,4129,710,1867,5.69057138,7.326323029,14.79209659
Landing Gear,Aluminum,48,Used,Europe,Embraer,E175,Aircraft Maintenance,188,119,4855,771,953,114,4476,235,92.80438287,8.376548764,4.225422652,0.955793061,18.2157431,2.448940325,69,4084,839,4241,4.151126113,95.5793061,18.2157431
Avionics,Aluminum,13,Used,North America,Cessna,737,Building Materials,978,163,1793,780,500,99,1704,200,86.60180347,4.624965228,1.920043366,0.6777800767,66.6261891,21.22514652,815,1013,401,1504,2.704921862,67.77800767,66.6261891
Landing Gear,Steel,42,Used,North America,Boeing,CRJ900,Building Materials,495,182,2956,928,409,61,1270,406,87.89307432,9.086061387,1.169139442,0.4081602873,24.93513326,0.7961614496,313,2028,348,864,7.916921945,40.81602873,24.93513326
Fuselage,Aluminum,43,New,Africa,Bombardier,737,Building Materials,970,151,2219,422,776,52,3542,103,60.45010551,9.667879613,1.541245902,0.7911668625,31.88004869,51.97458815,819,1797,724,3439,8.12663371,79.11668625,31.88004869
Fuselage,Titanium,37,Used,Africa,Bombardier,A320,Furniture,921,187,1624,501,239,163,1203,289,68.43037028,5.520288863,3.222469017,0.720481794,57.36238779,89.37281378,734,1123,76,914,2.297819846,72.0481794,57.36238779
Landing Gear,Composite,26,New,North America,Cessna,CRJ900,Art Installations,890,45,5285,552,862,175,4028,488,68.72918298,2.024512555,4.966085835,0.4590279055,94.08751508,18.62002141,845,4733,687,3540,-2.941573281,45.90279055,94.08751508
Landing Gear,Steel,3,Used,Africa,Bombardier,Citation X,Automotive Components,509,192,7766,724,782,77,3933,164,58.83888849,6.34052449,1.915276345,0.3899087631,49.82799569,17.7259429,317,7042,705,3769,4.425248144,38.99087631,49.82799569
Fuselage,Aluminum,1,New,Australia,Cessna,737,Building Materials,810,178,5863,214,382,65,4105,116,82.8913242,8.649991919,4.032403362,0.1176090123,21.86275382,28.68100765,632,5649,317,3989,4.617588557,11.76090123,21.86275382
Fuselage,Steel,49,New,Australia,Cessna,Citation X,Automotive Components,733,148,6914,823,292,55,3183,198,67.06464495,5.054341069,4.747664312,0.4297072632,29.75000485,5.894891449,585,6091,237,2985,0.3066767569,42.97072632,29.75000485
Engine,Composite,0,New,Europe,Airbus,737,Building Materials,675,59,4396,863,280,176,1426,423,72.3644272,7.263326739,1.502015457,0.5735417482,39.93514024,84.59193851,616,3533,104,1003,5.761311283,57.35417482,39.93514024
Fuselage,Titanium,40,New,South America,Boeing,G650,Automotive Components,828,103,5547,581,647,152,4177,478,84.24293209,6.293627135,1.36687363,0.1957518925,79.39790956,27.4545874,725,4966,495,3699,4.926753505,19.57518925,79.39790956
Wing,Composite,37,Used,Europe,Embraer,737,Art Installations,615,103,2799,609,567,133,1136,384,91.05798122,9.370647106,4.536199101,0.1581803906,55.02051984,69.87077594,512,2190,434,752,4.834448006,15.81803906,55.02051984
Landing Gear,Aluminum,9,New,Africa,Boeing,Citation X,Automotive Components,862,73,3867,341,214,110,4940,191,53.67392989,9.593049834,1.095649678,0.4406040952,6.329971814,81.95823418,789,3526,104,4749,8.497400156,44.06040952,6.329971814
Engine,Composite,36,Used,North America,Embraer,A320,Furniture,993,74,4133,501,479,21,539,412,88.18814308,2.322888425,4.563123084,0.390615874,47.54226692,14.03752757,919,3632,458,127,-2.24023466,39.0615874,47.54226692
Fuselage,Titanium,12,New,North America,Gulfstream,G650,Building Materials,804,48,9881,778,416,26,3788,174,58.87822293,8.770029117,3.366257663,0.8008061753,29.06552699,6.831484122,756,9103,390,3614,5.403771454,80.08061753,29.06552699
Wing,Composite,15,Used,Europe,Boeing,Citation X,Art Installations,218,166,2742,803,255,91,2257,408,85.12350644,3.838908425,1.443749245,0.993194369,42.77067247,9.09483395,52,1939,164,1849,2.39515918,99.3194369,42.77067247
Fuselage,Steel,49,Used,Europe,Airbus,737,Art Installations,193,54,1965,960,161,120,1509,375,80.32490537,2.727547308,4.401281678,0.5342985205,6.801363634,60.24076523,139,1005,41,1134,-1.67373437,53.42985205,6.801363634
Wing,Titanium,46,Used,Africa,Airbus,E175,Aircraft Maintenance,773,120,2711,410,397,103,4559,135,61.5643109,7.812785343,3.6914909,0.8537950362,90.42084844,87.30991734,653,2301,294,4424,4.121294443,85.37950362,90.42084844
Fuselage,Composite,13,Used,Europe,Airbus,G650,Building Materials,577,141,6816,726,316,60,2188,449,62.76713674,8.829954358,1.776498835,0.5240787022,39.45063066,80.40597943,436,6090,256,1739,7.053455523,52.40787022,39.45063066
Engine,Composite,22,Used,Asia,Bombardier,Citation X,Aircraft Maintenance,723,50,9640,529,405,136,502,349,67.86876757,6.039357692,1.097767112,0.1995438963,29.30935709,40.61227618,673,9111,269,153,4.94159058,19.95438963,29.30935709
Landing Gear,Aluminum,23,New,South America,Bombardier,E175,Building Materials,209,166,8506,874,451,64,3258,482,51.55651937,1.598007675,2.32543597,0.9296591073,93.93593688,29.88610233,43,7632,387,2776,-0.7274282947,92.96591073,93.93593688
Wing,Composite,45,Used,Australia,Embraer,G650,Building Materials,339,34,2510,266,633,131,909,340,67.07723147,4.934140211,1.692605177,0.9252633008,67.58703761,35.30852689,305,2244,502,569,3.241535035,92.52633008,67.58703761
Engine,Steel,17,Used,Europe,Gulfstream,737,Art Installations,168,199,7089,358,685,90,1455,333,58.52868029,2.65438063,1.897830514,0.375007906,60.5761249,17.59710863,-31,6731,595,1122,0.7565501165,37.5007906,60.5761249
Landing Gear,Aluminum,4,New,Asia,Gulfstream,Citation X,Art Installations,116,185,3285,274,435,180,4350,414,88.00324925,2.27957377,3.831072379,0.4538347415,70.73106761,9.741748159,-69,3011,255,3936,-1.551498609,45.38347415,70.73106761
